Name,Type,Latitude,Longitude,Elevation_ft,Continent,ISO_Country,ISO_Region,Municipality,Scheduled_Service,GPS_Code,IATA_Code
Tanjore Air Force Base,small_airport,10.72239971,79.10160065,253,AS,IN,IN-TN,Thanjavur,0,VOTJ,TJV
Tuticorin Airport,small_airport,8.724241,78.025803,129,AS,IN,IN-TN,Thoothukudi,1,VOTK,TCR
Bentayan Airport,small_airport,23.0951004,75.88529968,1666,AS,IN,IN-MP,Ujjain,0,,
Vellore Airport,small_airport,12.90880013,79.06680298,764,AS,IN,IN-TN,Vellore,0,VOVR,
Warangal Airport,small_airport,17.9144,79.602203,935,AS,IN,IN-TG,Warangal,0,VOWA,WGC
Tawang Air Force Station,heliport,27.58846092,91.87769318,8756,AS,IN,IN-AR,,0,,
Siachen Glacier AFS Airport,heliport,35.5,77,22000,AS,IN,IN-JK,,0,,
Cooch Behar Airport,small_airport,26.33049965,89.46720123,138,AS,IN,IN-WB,,0,VECO,COH
Walong Advanced Landing Ground,small_airport,28.129673,97.01966095,,AS,IN,IN-AR,,0,,
Itanagar (Naharlagun),heliport,27.111675,93.69610556,,AS,IN,IN-AR,,0,,
Itanagar (Naharlagun),heliport,27.111675,93.69610556,466,AS,IN,IN-AR,,0,,
Ledo Airfield,closed,27.3025,95.737222,,AS,IN,IN-AS,,0,,
Dinjan Airfield,closed,27.538017,95.269447,,AS,IN,IN-AS,,0,,
Madhubani Airport,small_airport,26.32916667,86.06,,AS,IN,IN-BR,,0,,
Madhubani Airport,small_airport,26.32916667,86.06,,AS,IN,IN-BR,,0,,
saharsa airstrip,small_airport,25.89194444,86.5825,,AS,IN,IN-BR,,0,,
Raigarh Airport (JSPL),small_airport,21.93528056,83.35021389,,AS,IN,IN-CT,,0,,
Annandale Helipad,heliport,31.11138889,77.15694444,6120,AS,IN,IN-HP,,0,,
Ajog Helipad,heliport,32.92194444,76.458,7460,AS,IN,IN-HP,,0,,
Noamundi Airport,small_airport,22.19222222,85.54888889,,AS,IN,IN-JH,,0,,
Leh Helipad,heliport,34.12866974,77.53653717,10682,AS,IN,IN-JK,,0,,
